#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_0_0;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_0_0_2;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_2_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_0_0_3;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_3_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_0_0_4;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_4_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_0_0_5;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_5_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_0_0_6;0.0;0.0;0.0;;0.0;;;;;;;;;x
b_0_0_6_adj;0.0ian;;0.0er;;;;;;;;;;;x
b_101st_ave;101st Ave;101st Ave;101st Ave;;101st Ave;;;;;;;;;x
b_101st_ave_adj;101st Avean;;101st Aver;;;;;;;;;;;x
b_103rd_st;103rd St;103rd St;103rd St;;103rd St;;;;;;;;;x
b_103rd_st_adj;103rd Stian;;103rd Ster;;;;;;;;;;;x
b_107_0;107.0;107.0;107.0;;107.0;;;;;;;;;x
b_107_0_adj;107.0ian;;107.0er;;;;;;;;;;;x
b_107_0_2;107.0;107.0;107.0;;107.0;;;;;;;;;x
b_107_0_2_adj;107.0ian;;107.0er;;;;;;;;;;;x
b_108th_ave;108th Ave;108th Ave;108th Ave;;108th Ave;;;;;;;;;x
b_108th_ave_adj;108th Avean;;108th Aver;;;;;;;;;;;x
b_108th_st;108th St;108th St;108th St;;108th St;;;;;;;;;x
b_108th_st_adj;108th Stian;;108th Ster;;;;;;;;;;;x
b_108th_st_2;108th St;108th St;108th St;;108th St;;;;;;;;;x
b_108th_st_2_adj;108th Stian;;108th Ster;;;;;;;;;;;x
b_108th_st_3;108th St;108th St;108th St;;108th St;;;;;;;;;x
b_108th_st_3_adj;108th Stian;;108th Ster;;;;;;;;;;;x
b_10_0;10.0;10.0;10.0;;10.0;;;;;;;;;x
b_10_0_adj;10.0ian;;10.0er;;;;;;;;;;;x
b_10th_ave;10th Ave;10th Ave;10th Ave;;10th Ave;;;;;;;;;x
b_10th_ave_adj;10th Avean;;10th Aver;;;;;;;;;;;x
b_114th_st;114th St;114th St;114th St;;114th St;;;;;;;;;x
b_114th_st_adj;114th Stian;;114th Ster;;;;;;;;;;;x
b_11th_st;11th St;11th St;11th St;;11th St;;;;;;;;;x
b_11th_st_adj;11th Stian;;11th Ster;;;;;;;;;;;x
b_120th_ave;120th Ave;120th Ave;120th Ave;;120th Ave;;;;;;;;;x
b_120th_ave_adj;120th Avean;;120th Aver;;;;;;;;;;;x
b_121st_ave;121st Ave;121st Ave;121st Ave;;121st Ave;;;;;;;;;x
b_121st_ave_adj;121st Avean;;121st Aver;;;;;;;;;;;x
b_127th_st;127th St;127th St;127th St;;127th St;;;;;;;;;x
