#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_auburndale_hills;Auburndale Hills;Auburndale Hills;Auburndale Hills;;Auburndale Hills;;;;;;;;;x
d_auburndale_hills_adj;Auburndale Hillsian;;Auburndale Hillser;;;;;;;;;;;x
d_bay_ridge;Bay Ridge;Bay Ridge;Bay Ridge;;Bay Ridge;;;;;;;;;x
d_bay_ridge_adj;Bay Ridgean;;Bay Ridger;;;;;;;;;;;x
d_bayside;Bayside;Bayside;Bayside;;Bayside;;;;;;;;;x
d_bayside_adj;Baysidean;;baysider;;;;;;;;;;;x
d_bedford_stuyvesant;Bedford-Stuyvesant;Bedford-Stuyvesant;Bedford-Stuyvesant;;Bedford-Stuyvesant;;;;;;;;;x
d_bedford_stuyvesant_adj;Bedford-Stuyvesantian;;bedford-stuyvesanter;;;;;;;;;;;x
d_bensonhurst;Bensonhurst;Bensonhurst;Bensonhurst;;Bensonhurst;;;;;;;;;x
d_bensonhurst_adj;Bensonhurstian;;bensonhurster;;;;;;;;;;;x
d_borough_park;Borough Park;Borough Park;Borough Park;;Borough Park;;;;;;;;;x
d_borough_park_adj;Borough Parkian;;Borough Parker;;;;;;;;;;;x
d_breezy_point;Breezy Point;Breezy Point;Breezy Point;;Breezy Point;;;;;;;;;x
d_breezy_point_adj;Breezy Pointian;;Breezy Pointer;;;;;;;;;;;x
d_brooklyn;Brooklyn;Brooklyn;Brooklyn;;Brooklyn;;;;;;;;;x
d_brooklyn_adj;Brooklynian;;brooklyner;;;;;;;;;;;x
d_brownsville;Brownsville;Brownsville;Brownsville;;Brownsville;;;;;;;;;x
d_brownsville_adj;Brownsvillean;;brownsviller;;;;;;;;;;;x
d_bushwick;Bushwick;Bushwick;Bushwick;;Bushwick;;;;;;;;;x
d_bushwick_adj;Bushwickian;;bushwicker;;;;;;;;;;;x
d_canarsie;Canarsie;Canarsie;Canarsie;;Canarsie;;;;;;;;;x
d_canarsie_adj;Canarsiean;;canarser;;;;;;;;;;;x
d_carnegie_hill;Carnegie Hill;Carnegie Hill;Carnegie Hill;;Carnegie Hill;;;;;;;;;x
d_carnegie_hill_adj;Carnegie Hillian;;Carnegie Hiller;;;;;;;;;;;x
d_castleton;Castleton;Castleton;Castleton;;Castleton;;;;;;;;;x
d_castleton_adj;Castletonian;;castletoner;;;;;;;;;;;x
d_central_harlem;Central Harlem;Central Harlem;Central Harlem;;Central Harlem;;;;;;;;;x
d_central_harlem_adj;Central Harlemian;;Central Harlemer;;;;;;;;;;;x
d_central_park;Central Park;Central Park;Central Park;;Central Park;;;;;;;;;x
d_central_park_adj;Central Parkian;;Central Parker;;;;;;;;;;;x
d_chelsea;Chelsea;Chelsea;Chelsea;;Chelsea;;;;;;;;;x
d_chelsea_adj;Chelsean;;chelser;;;;;;;;;;;x
d_chinatown;Chinatown;Chinatown;Chinatown;;Chinatown;;;;;;;;;x
d_chinatown_adj;Chinatownian;;chinatowner;;;;;;;;;;;x
d_civic_center;Civic Center;Civic Center;Civic Center;;Civic Center;;;;;;;;;x
d_civic_center_adj;Civic Centerian;;Civic Centerer;;;;;;;;;;;x
d_claremont;Claremont;Claremont;Claremont;;Claremont;;;;;;;;;x
d_claremont_adj;Claremontian;;claremonter;;;;;;;;;;;x
d_concourse;Concourse;Concourse;Concourse;;Concourse;;;;;;;;;x
d_concourse_adj;Concoursean;;concourser;;;;;;;;;;;x
d_coney_island;Coney Island;Coney Island;Coney Island;;Coney Island;;;;;;;;;x
d_coney_island_adj;Coney Islandian;;Coney Islander;;;;;;;;;;;x
d_crown_heights;Crown Heights;Crown Heights;Crown Heights;;Crown Heights;;;;;;;;;x
d_crown_heights_adj;Crown Heightsian;;Crown Heightser;;;;;;;;;;;x
d_downtown_flushing;Downtown Flushing;Downtown Flushing;Downtown Flushing;;Downtown Flushing;;;;;;;;;x
d_downtown_flushing_adj;Downtown Flushingian;;Downtown Flushinger;;;;;;;;;;;x
d_east_flatbush;East Flatbush;East Flatbush;East Flatbush;;East Flatbush;;;;;;;;;x
d_east_flatbush_adj;East Flatbushian;;East Flatbusher;;;;;;;;;;;x
d_east_harlem;East Harlem;East Harlem;East Harlem;;East Harlem;;;;;;;;;x
d_east_harlem_adj;East Harlemian;;East Harlemer;;;;;;;;;;;x
d_east_new_york;East New York;East New York;East New York;;East New York;;;;;;;;;x
d_east_new_york_adj;East New Yorkian;;East New Yorker;;;;;;;;;;;x
d_east_village;East Village;East Village;East Village;;East Village;;;;;;;;;x
d_east_village_adj;East Villagean;;East Villager;;;;;;;;;;;x
d_eastchester;Eastchester;Eastchester;Eastchester;;Eastchester;;;;;;;;;x
d_eastchester_adj;Eastchesterian;;eastchesterer;;;;;;;;;;;x
d_edgewater;Edgewater;Edgewater;Edgewater;;Edgewater;;;;;;;;;x
d_edgewater_adj;Edgewaterian;;edgewaterer;;;;;;;;;;;x
d_elmhurst;Elmhurst;Elmhurst;Elmhurst;;Elmhurst;;;;;;;;;x
d_elmhurst_adj;Elmhurstian;;elmhurster;;;;;;;;;;;x
d_far_rockaway;Far Rockaway;Far Rockaway;Far Rockaway;;Far Rockaway;;;;;;;;;x
d_far_rockaway_adj;Far Rockawaian;;Far Rockawaer;;;;;;;;;;;x
d_financial_district;Financial District;Financial District;Financial District;;Financial District;;;;;;;;;x
d_financial_district_adj;Financial Districtian;;Financial Districter;;;;;;;;;;;x
d_flatbush;Flatbush;Flatbush;Flatbush;;Flatbush;;;;;;;;;x
d_flatbush_adj;Flatbushian;;flatbusher;;;;;;;;;;;x
d_flatlands;Flatlands;Flatlands;Flatlands;;Flatlands;;;;;;;;;x
d_flatlands_adj;Flatlandsian;;flatlandser;;;;;;;;;;;x
d_forest_hills;Forest Hills;Forest Hills;Forest Hills;;Forest Hills;;;;;;;;;x
d_forest_hills_adj;Forest Hillsian;;Forest Hillser;;;;;;;;;;;x
d_glen_oaks;Glen Oaks;Glen Oaks;Glen Oaks;;Glen Oaks;;;;;;;;;x
d_glen_oaks_adj;Glen Oaksian;;Glen Oakser;;;;;;;;;;;x
d_gramercy;Gramercy;Gramercy;Gramercy;;Gramercy;;;;;;;;;x
d_gramercy_adj;Gramercian;;gramercer;;;;;;;;;;;x
d_gravesend;Gravesend;Gravesend;Gravesend;;Gravesend;;;;;;;;;x
d_gravesend_adj;Gravesendian;;gravesender;;;;;;;;;;;x
d_greenpoint;Greenpoint;Greenpoint;Greenpoint;;Greenpoint;;;;;;;;;x
d_greenpoint_adj;Greenpointian;;greenpointer;;;;;;;;;;;x
