#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_brooklyn;Brooklyn;Brooklyn;Brooklyn;;Brooklyn;;;;;;;;;x
e_brooklyn_adj;Brooklynian;;brooklyner;;;;;;;;;;;x
e_manhattan;Manhattan;Manhattan;Manhattan;;Manhattan;;;;;;;;;x
e_manhattan_adj;Manhattanian;;manhattaner;;;;;;;;;;;x
e_queens;Queens;Queens;Queens;;Queens;;;;;;;;;x
e_queens_adj;Queensian;;queenser;;;;;;;;;;;x
e_staten_island;Staten Island;Staten Island;Staten Island;;Staten Island;;;;;;;;;x
e_staten_island_adj;Staten Islandian;;Staten Islander;;;;;;;;;;;x
e_the_bronx;The Bronx;The Bronx;The Bronx;;The Bronx;;;;;;;;;x
e_the_bronx_adj;The Bronxian;;The Bronxer;;;;;;;;;;;x
